Time,propulsion/engine[0]/thrust-N,propulsion/tank[0]/contents-kg,position/h-agl-m,velocities/vc-ms,attitude/phi-deg,attitude/theta-deg,attitude/psi-deg
57.7,0,0,391.343283504066221,183.332079169920888,-58.3506726905833872,-85.2361407955084616,345.162778723492181
57.8,0,0,371.649726093128209,183.710296280133718,-60.9784992596828275,-84.9164107000513866,347.801114904710232
57.9,0,0,351.932215624463083,184.086201088672794,-64.0338859581648023,-84.4477401100393621,350.870468176804309
58,0,0,332.191257335463149,184.459790547186174,-67.0606826051059386,-83.8534881564211503,353.913848872540825
58.1,0,0,312.427393120313354,184.831061300018575,-69.7701084170530663,-83.169362340900534,356.641476386518434
58.2,0,0,292.641189481910885,185.200009707315843,-72.0391081588163757,-82.4402899400074745,358.929224273290117
58.3,0,0,272.833223470251653,185.566631947883366,-73.855067589145591,-81.7158498478747362,0.763431903610916174
58.4,0,0,253.004067094859636,185.930924237188606,-75.2596016002028705,-81.0457447678200111,2.18477650234297105
58.5,0,0,233.154271051046095,186.292883152348452,-76.310837622164513,-80.475867265737719,3.25061114674669405
58.6,0,0,213.284348949023467,186.652506013656165,-77.0632289120838152,-80.0450566896539328,4.01479713613052613
58.7,0,0,193.39476341019477,187.009791246000901,-77.5586367074024707,-79.7825500534954557,4.51877947275334524
58.8,0,0,173.485915352154564,187.36473867843867,-77.8234845316534916,-79.7061500533826575,4.78872839865081001
58.9,0,0,153.558137418288567,187.717349481211528,-77.8688835118839506,-79.8211504191415457,4.83566445652162979
59,0,0,133.611692197034586,188.067626468628674,-77.6921818364922672,-80.1200537980283372,4.6570262373053426
59.1,0,0,113.6467752440673,188.415573554326727,-77.2793680242111236,-80.5830902121669936,4.23910036505409238
59.2,0,0,93.6635225895574735,188.761195653785393,-76.6084841515522186,-81.1795205931114907,3.56044909616513294
59.3,0,0,73.6620219931680538,189.104498349179437,-75.6549982790976685,-81.8696768004959665,2.59726593677619366
59.4,0,0,53.6423271638259891,189.445487612892691,-74.4011634101084383,-82.6076633749045044,1.33268018693236079
59.5,0,0,33.60447390372439,189.784169575781902,-72.8525855641771329,-83.3446160308058666,359.773242293933038
59.6,0,0,13.5484973129088235,190.120550335250925,-71.065196994524868,-84.0323648105755296,357.975805676748053
59.7,0,0,-5.47807014908899159,140.168994276188727,160.886871173493489,-87.6737770046699723,309.967427215396071
59.8,0,0,-15.696811903881045,60.589550812085065,-172.101338110437894,-86.263608976192188,180.930095558557724
59.9,0,0,-19.7157759745258332,20.5491834699288773,-150.236073579197466,-84.4145852677208097,196.760387504233393
60,0,0,-20.5899778475646009,6.40641251780697729,-130.339905707860225,-82.1140676205942412,307.138919728674466
60.1,0,0,-19.9290039779396615,12.124060158118688,-125.807483289202906,-82.081234450252083,131.866237234720415
60.2,0,0,-18.5766938551094078,15.6885429692081786,-107.057752512752813,-79.5906862066244258,334.819152134571993
60.3,0,0,-16.9730908859961858,16.8080132982574213,-112.992538923913074,-77.6581919317724498,237.622963492799187
60.4,0,0,-15.3277995839595018,16.6485421371801294,-106.666846718713884,-79.1935088107665734,136.916551421081039
60.5,0,0,-13.7472588732659524,15.8639523754755647,-107.560404503080946,-71.303265053741157,42.9140109118585187
60.6,0,0,-12.2716022400778684,15.0393234613698734,178.486416922079115,-50.7694838281345611,22.4384392028168449
60.7,0,0,-10.8997731451100339,14.2306073029136417,91.3615339651586282,-28.8309212139805773,14.6473263457871887
60.8,0,0,-9.63232008677845641,13.4408598078842658,0.755544901895287557,-6.38080311454940396,9.39965162345063376
60.9,0,0,-8.46687875082121089,12.6718652524381596,-91.9444094107221019,16.3886343637836944,4.25038603648100555
61,0,0,-7.40072655451004646,11.9255252922821366,172.42626482742449,39.2236737926283539,357.165058142883481
61.1,0,0,-6.43348276454913215,11.2059249789633686,68.322032890027856,61.3336434963548385,342.094995148563157
61.2,0,0,-5.56413124659482072,10.5175804323908313,-79.7236481463243081,75.8955654024398996,283.281030291973934
61.3,0,0,-4.79164079463400139,9.86600080649488831,126.806966797845988,62.5516922181613779,219.024420865909661
61.4,0,0,-4.11367023423921552,9.34729089011125325,59.7492468908981422,41.0915727307377239,203.106112357364651
61.5,0,0,-3.52004555717391598,8.87539797574491374,55.2981114766049515,26.1230195491533159,195.589911872713088
61.6,0,0,-2.99726611332651327,8.47012031867942738,54.0275001909544628,13.1813054133483867,189.679434333305039
61.7,0,0,-2.51464340340140913,8.07220203860766539,57.7919109008761538,0.187502976980866376,184.340141903668467
61.8,0,0,-2.05425861568461654,7.6388428557364314,62.915252687732405,-12.6783008304217155,178.953063177440043
61.9,0,0,-1.62320917821211053,7.1120611078077598,66.6506777816027665,-25.1818229635084201,172.914641511892569
62,0,0,-1.22176616563339269,6.47316997072547196,73.9926837760666842,-38.5960896082290645,165.299510672096886
62.1,0,0,-0.853133592465755708,5.82959759900318453,89.4977001347758403,-52.5314425969062597,153.785950658043333
62.2,0,0,-0.543586328497052462,5.28133207583919795,125.22060241384429,-64.4204892487455822,132.294936628225827
62.3,0,0,-0.321715179996063694,4.8975948012091246,-165.519605748385601,-69.6195319964087531,92.0479593549758448
62.4,0,0,-0.199304073460400105,4.67827263463885146,-95.5689322851249443,-63.8451950847503014,52.7220673092596641
62.5,0,0,-0.176252371892060916,4.63542264085611944,-44.2065687689831108,-51.77626819834542,31.8698185287403355
62.6,0,0,-0.252097019412474754,4.77291299269346059,-2.57441843227878087,-37.5866582251678665,20.50313354779788
62.7,0,0,-0.426241248942715201,5.07506117410406343,34.8067883238780524,-22.610993949684552,12.9690456248833996
62.8,0,0,-0.697624036080150112,5.48727303571069758,66.459048282175246,-7.13977720836653074,6.96937272528198282
62.9,0,0,-1.06019748187983209,5.92357695784727056,82.483671211846854,10.6327350671972507,1.23205394538981183
63,0,0,-1.50845734562642475,6.38126935079953039,95.6122921781986577,32.830084647135763,354.607030265552055
63.1,0,0,-1.99428635542091448,6.73342373631358537,106.573691009055594,55.4912960612772679,343.119715247789145
63.2,0,0,-2.3910740286441281,6.50892182500380212,106.810360065416461,73.0376315326883656,310.251510760598933
63.3,0,0,-2.6352652448136209,6.04377484696418499,70.1462352086928718,74.5529457124689117,223.920408187295124
63.4,0,0,-2.71283637441752834,5.62622600311412402,70.2403874702507238,60.9535276706947329,183.3387525147715
63.5,0,0,-2.64933472442362561,5.26412878727022626,83.2434420073089001,47.1347633753968722,167.306064793196811
