time,thrust
1.491,1395.391235
1.492,1368.640625
1.493,1382.327026
1.494,1375.483765
1.495,1367.396362
1.496,1377.972168
1.497,1386.059692
1.498,1383.571167
1.499,1390.414429
1.5,1364.285767
1.501,1383.571167
1.502,1381.082764
1.503,1371.129028
1.504,1382.949097
1.505,1394.769165
1.506,1391.036499
1.507,1400.990234
1.508,1372.373291
1.509,1389.170166
1.51,1394.769165
1.511,1376.728027
1.512,1400.368164
1.513,1369.884766
1.514,1385.4375
1.515,1381.082764
1.516,1364.285767
1.517,1388.548096
1.518,1399.123901
1.519,1382.949097
1.52,1382.327026
1.521,1392.280762
1.522,1384.193359
1.523,1379.838501
1.524,1376.728027
1.525,1378.59436
1.526,1386.059692
1.527,1376.105835
1.528,1375.483765
1.529,1371.751099
1.53,1384.193359
1.531,1381.704834
1.532,1382.327026
1.533,1377.972168
1.534,1376.728027
1.535,1376.728027
1.536,1377.972168
1.537,1359.93103
1.538,1394.769165
1.539,1394.769165
1.54,1390.414429
1.541,1384.193359
1.542,1367.396362
1.543,1399.123901
1.544,1374.239502
1.545,1380.460693
1.546,1372.995361
1.547,1372.995361
1.548,1379.838501
1.549,1381.082764
1.55,1368.018433
1.551,1372.995361
1.552,1402.856567
1.553,1374.239502
1.554,1377.972168
1.555,1370.506958
1.556,1371.129028
1.557,1379.838501
1.558,1394.769165
1.559,1384.193359
1.56,1382.327026
1.561,1345.000366
1.562,1380.460693
1.563,1392.902832
1.564,1377.972168
1.565,1393.524902
1.566,1384.193359
1.567,1391.036499
1.568,1383.571167
1.569,1391.658569
1.57,1384.81543
1.571,1361.175293
1.572,1381.082764
1.573,1376.105835
1.574,1401.612427
1.575,1393.524902
1.576,1381.082764
1.577,1365.530029
1.578,1371.751099
1.579,1364.285767
1.58,1374.861694
1.581,1387.303833
1.582,1387.926025
1.583,1377.972168
1.584,1376.105835
1.585,1384.81543
1.586,1383.571167
1.587,1386.059692
1.588,1388.548096
1.589,1364.285767
1.59,1366.1521
1.591,1381.082764
1.592,1363.663696
